2026-03-16 23:02:01,349 | member_id=1 | action=LOGIN_SUCCESS | table=UserLogin | record_id=1 | ip=127.0.0.1 | session_valid=True | details=username=admin
2026-03-16 23:02:01,370 | member_id=1 | action=LOGIN_SUCCESS | table=UserLogin | record_id=1 | ip=127.0.0.1 | session_valid=True | details=username=admin
2026-03-16 23:02:01,423 | member_id=1 | action=API_LIST_MEMBERS | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-16 23:02:01,447 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-16 23:02:01,465 | member_id=8 | action=LOGIN_SUCCESS | table=UserLogin | record_id=8 | ip=127.0.0.1 | session_valid=True | details=username=kavya
2026-03-16 23:02:01,524 | member_id=8 | action=API_LIST_MEMBERS | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-16 23:02:01,544 | member_id=None | action=LOGIN_FAILED | table=UserLogin | record_id=None | ip=127.0.0.1 | session_valid=False | details=username=admin
2026-03-22 04:57:27,362 | member_id=1 | action=LOGIN_SUCCESS | table=UserLogin | record_id=1 | ip=127.0.0.1 | session_valid=True | details=username=admin
2026-03-22 04:57:27,368 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:57:34,483 | member_id=1 | action=VIEW_PORTFOLIO | table=Member | record_id=1 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:57:39,841 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:57:47,159 | member_id=1 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:57:50,850 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:57:58,378 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:58:18,900 | member_id=1 | action=API_UPDATE_DOCUMENT | table=Document | record_id=16 | ip=127.0.0.1 | session_valid=True | details=fields=['Title', 'Description', 'FolderID', 'IsConfidential']
2026-03-22 04:58:20,473 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:58:25,752 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:58:33,744 | member_id=1 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:58:34,395 | member_id=1 | action=VIEW_PORTFOLIO | table=Member | record_id=1 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:58:35,625 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:59:17,431 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 04:59:41,297 | member_id=1 | action=API_CREATE_DOCUMENT | table=Document | record_id=21 | ip=127.0.0.1 | session_valid=True | details=title=jshdfkas
2026-03-22 04:59:42,797 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:01:06,409 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:01:30,958 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:01:32,399 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:02:36,567 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
